,property_url,headline,price,area,description,amenities
0,https://www.homeaway.com/vacation-rental/p3579610#reviews,"Cliffside OVER ""THE"" park-REALLY?!!!! YESSSS!!! - ADVENTURE across the street.",$575,1800 sq. ft.,"ACL 2nd weekend NOW AVAILABLE. 1 block to front gate!!!! Costa Rican inspired luxury- Panoramic Zilker Park VIEWS. Excellence in Austin. Penthouse atmosphere perched cliff-side in the trees overlooking Austin's own Central Park. Enjoy being so close to downtown AND have Barton Springs Pool /Park and the River as good as in your front yard. UNSURPASSED LOCATION. **Rates are based on a PER PERSON basis. Please be sure to enter the correct number of guests for an accurate quote and invoice. Zilker Park is 365 amazing acres, ABSOLUTELY across the street. This property has been a bridal party destination for multiple guests. ************** Please inquire for Holiday/special event rates (March 8-20) and minimums ********* The first thing you will see as you walk into your living space is 3 sets of french doors opening to incredible views of Zilker Park. Wrap around HUGE DECK and an enormous picture window enhance your experience of the beautiful Park. The back entrance to Barton Springs Pool is literally just 379 steps away. You can see it from the balcony. We have UNRIVALED IMMEDIATE ACCESS to Lady Bird Lake and 10 miles of hike and bike trail surrounding the lake. This is Austin’s social hub for hiking, biking, canoeing, kayaking and paddle boarding. You are walking distance to so many of Austin's finest iconic restaurants, bars and Alamo Drafthouse theater. Unlauff Sculpture Garden is half a block away. This property captures the true essence of the park by bringing the outdoors into your living space. In the morning or evening, with the 3 french doors open, the breeze is spectacular. The space offers a tranquil setting embodied by all natural materials including cedar ceilings, wood and limestone counters, and a solid granite kitchen sink. 2nd living room is luxurious and peaceful with a 70"" TV if a game or movie is in order. It doubles as a bunk room for large parties. Bathrooms boast pristine white stucco with sparkling Quartz rock flooring. This property is the complete upper level of a luxury duplex with street level entrance. and built in the 1960s by a local famous architect AD Stenger. Designed to be a perfect romantic getaway for two or a vibrant family gathering.","Internet, Air Conditioning, Pets Welcome, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
1,https://www.homeaway.com/vacation-rental/p3530299#reviews,Hyde Park Historic District - Close To Everything Austin Has To Offer!,$109,550 sq. ft.,"Built in 2010, the garage apartment was constructed with the same quality and style as the 100 year old victorian main home.","Washer & Dryer, Air Conditioning, No Smoking, TV, Internet, Heater, Parking"
2,https://www.homeaway.com/vacation-rental/p3633840#reviews,"Perfect Getaway - Quiet, But Close To Everything",$75,196 sq. ft.,"Cozy 196 s.f. Tiny house with all the basic amenities. Kitchenette with fridge, microwave, toaster and coffee maker. Very comfortable queen-size fold down Murphy bed, sofa and great front porch. Bathroom with shower. Small fold-down leaf table with chairs.","No Smoking, Air Conditioning, Pets Welcome, Internet, Heater, Parking"
3,https://www.homeaway.com/vacation-rental/p321912vb#reviews,"Sweet & comfortable 2/1 Bouldin home.Walk to food trailers,Zilker/Barton Springs",$151,800 sq. ft.,Fully Licensed by the City of Austin. License number,"No Smoking, Air Conditioning, Washer & Dryer, Satellite or Cable, TV, Children Welcome, Pets Welcome, Internet, Heater, Parking"
4,https://www.homeaway.com/vacation-rental/p3636062#reviews,Suite in Historic Downtown Home - 4 Blocks from Capitol,$105,500 sq. ft.,"Eleven Oaks Suite is located in a downtown Austin home that has both city and state historical designation. Your hosts, who live on the premises, are homeowners Ted Siff and Janelle Buchanan and their two daughters. The original part of the house was built in 1858 by Edward Clark, who was Texas’ lieutenant governor under Sam Houston and, briefly, governor.","Internet, Air Conditioning, TV, Satellite or Cable, Parking, No Smoking, Heater"
5,https://www.homeaway.com/vacation-rental/p372384#reviews,Casita Lunita-Southwestern Eclectic Cottage in Heart of SoCo-Central Austin!,$195,1200 sq. ft.,Enjoy life in the heart of Austin's Travis Heights/South Congress area.,"Internet, Air Conditioning, Pets Welcome, Fireplace, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
6,https://www.homeaway.com/vacation-rental/p3477728#reviews,"3BR/2BA Home Close to Zilker Park, ACL and downtown",$265,1800 sq. ft.,"This 3BR/2BA attractive and comfortable remodeled house is perfectly located to access many popular Austin activities. The house has an excellent floor plan, with the master bedroom and bath upstairs and an additional two bedrooms and full bath downstairs. Behind the house, guests will enjoy a limestone patio with a built-in fire ring, a BBQ pit, and a dining table situated under an elegant arbor. The well-maintained landscaping showcases a lighted washer pit and gated front and back yard.","No Smoking, Air Conditioning, Washer & Dryer, Satellite or Cable, TV, Internet"
7,https://www.homeaway.com/vacation-rental/p3489155#reviews,Downtown convenience in quiet neighborhood for restful stay!,$72,300 sq. ft.,"Our spacious, quiet, one bedroom studio is a comfortable home base for tourists and business travelers. We look forward to hosting you in our convenient Austin neighborhood three miles south of downtown. We are 1/2 mile from newly developed The Yard—a collection of breweries, coffee shops, wine tasting rooms, food trailers, and a whiskey still. Walk down and have everything you need in one spot! The Spokesman has excellent coffee and a light breakfast/lunch menu. St Elmo brewery has been rated one of the top new breweries in town, has a tasty food truck Sour Sop, and offers great music including a Thursday night bluegrass set.","Internet, Air Conditioning, TV, Satellite or Cable, Parking, No Smoking, Heater"
8,https://www.homeaway.com/vacation-rental/p169977#reviews,"Oasis near downtown Austin - 8 bedroom house on 30 acres with pool, party barn.","$1,248",4000 sq. ft.,The Rockin’ Y Ranch is a beautiful hilltop home just 15 minutes from Downtown Austin. Perfect for getting together with family and friends. Here are some details on this beautiful getaway:,"Swimming pool, Internet, Air Conditioning, Pets Welcome, Fireplace, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
9,https://www.homeaway.com/vacation-rental/p3641254#reviews,ADVENTURE begins here -Open LOFT- ON Zilker PARK-300 steps to Barton POOL,$350,1440 sq. ft.,"Enjoy all the richness that is Austin’s own central park, 365 amazing acres, ABSOLUTELY across the street. **This property rates are based on a per person basis. Please enter correct number of guests for an accurate quote and invoice. We have UNSURPASSED ACCESS to Lady Bird Lake and the 10 miles of hike and bike trail surrounding the lake. This is Austin’s social hub for hiking, biking, canoeing, kayaking and paddle boarding. You will be literally steps to Barton Springs Pool. * This property offers you inspired design focused on the style and relaxed appeal of Austin, with flavors of a cottage in the French countryside. Breezy sun drenched flex space opens up to the main living area with a sliding wall and 6' corrugated swinging door creating a huge entertainment social space. When closed it offers two XL twins with ensuite. The vibe is ""oversized loft"" ""and a part of the park"" with stone flooring and wood ceilings. Restoration Hardware crystal chandeliers fill the dining area and lounge spaces with sparkling light. Enjoy cooking in a fully stocked stone and wood kitchen with a luxurious marble farmers sink and custom gourmet prep island. The living/dining area is complete with 2 sets of French doors and 6 additional over-sized windows. Features include: An expansive deck off the living room, 2 impeccable stone and stucco full bathrooms with surround rainfall shower. Off the master a large fenced yard allows for any accompanying pet to roam freely. We are WALKING distance to so many of Austin’s finest dining experiences, pubs, night clubs and Alamo Drafthouse Cinema. Umlauff sculpture garden half a block away. This property is the complete private (no interior access) bottom level of a luxury duplex with convenient parking by the front door. It is a truly spectacular property in an unsurpassed location. This is an exquisitely restored/remodeled duplex, lower level. The upper duplex is a vacation rental property as well. Much like the most luxurious older hotels you can hear some noise transference. Pricing has definitely been adjusted for this potential. If you are sensitive to this, perhaps another property would better suit you. PLEASE INQUIRE FOR ACL AND SXSW (March 8-20) SPECIAL EVEN PERIOD RATES.","Internet, Air Conditioning, Pets Welcome, TV, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
